id,text,date,likes_count,comments_count,reposts_count,views_count,url_photos
223734,"Провели предматчевую в Волгограде ✅ 

Уже скоро выдвигаемся в аэропорт ✈️

#Родина2Ротор — завтра в 15:00 ⚽️",2024-05-18 14:00:03,83,0,3,3962,"['https://sun150-2.userapi.com/impg/9NwQbPU3WuooGVV3wnrnabUf_fNTsqNcqZVKxw/4J2VAVzIj9c.jpg?size=510x763&quality=95&sign=ef839077f47fe90df4228cdd80ffffd9&c_uniq_tag=l65aj6b1YaK_GGjENqblgJlWnAlvmkfv8VvlSUQ6KsY&type=album', 'https://sun150-2.userapi.com/impg/NFlOCjZJ_ncoeMgvfPkkNFIRCNBn4q87hLtzOA/u9PQBg8PssU.jpg?size=510x763&quality=95&sign=f2ed911b68a2658f0f2a3bf1fcb5eecf&c_uniq_tag=L_2DxHwz-7vbIWeV-MrATkF9kfARbCkq6KWkV6_tCC8&type=album', 'https://sun150-2.userapi.com/impg/iDt7z1hfiClE-yrvw8PdQIPFDTQlA4fjj5c-FA/g7kZ9Zeq5ZY.jpg?size=510x763&quality=95&sign=713e483ebf5f240156545a44611acb6b&c_uniq_tag=TZWL1l6Y5rmiTJLsLFabF-DiX0UFSAJBl56rYpz2D8Q&type=album', 'https://sun150-2.userapi.com/impg/zClU4saeMRQps6xG4NZH08AO7_Rh-PH_X87gEQ/V96SOqipf_w.jpg?size=510x763&quality=95&sign=29a8d823593321d38269ae4e8fc778e4&c_uniq_tag=FkmH0nOZfi6HMh_u7F3ybudSMTl86QcPi6DJfrS60nc&type=album', 'https://sun150-1.userapi.com/impg/Yu_l6-qvL9NOAEEKGKhpojOp4K3_eMB_cw-wsw/8GAYzpGKk80.jpg?size=510x763&quality=95&sign=048cf35f2bfa36ac5b8a778f3a290a22&c_uniq_tag=XxiqBpGs5R4gtg82ha1oYaAWek_6ueZtFRlRTWXyHbA&type=album', 'https://sun150-2.userapi.com/impg/a81t04ZS-HQCn7b-VU4DLzhATpGjlQnRPwr5Tg/iwBzshj9Ad0.jpg?size=510x763&quality=95&sign=a5b4cff3039de91062b018058938b0a1&c_uniq_tag=Ni1wMk-BOprQWM6ppzjG257jRMFwUrumAGUmaN_E2-A&type=album', 'https://sun150-1.userapi.com/impg/581iBlhFa1x-n2t2lc0a95s9I1uKEuslSP1mnA/Yyw7QRN5JIs.jpg?size=510x763&quality=95&sign=4b8228a6a2f77aff18585b8119e1de3e&c_uniq_tag=6vaDZuX__7eI8k_udFwyGG9bsIHy-qvGy0Q9pN78T2E&type=album', 'https://sun150-2.userapi.com/impg/QSwyhcv3RLG4ZiaR0mdAl49-SxG5i1G-OXn9eQ/o2CvHKXNOk4.jpg?size=510x763&quality=95&sign=88b052e6195b534119c6acc743dc3a84&c_uniq_tag=xcxj6y3Pu-ZaUi5iiGpJUE7u_pZ6T1ZFmdNqptPRVrA&type=album', 'https://sun150-2.userapi.com/impg/6WCLmp6iqPBvB3GyzjDvrGQwmFOEQqYr2V7U_A/-8jorGotekI.jpg?size=510x763&quality=95&sign=39a751c7e929517372e3d0c02dc32283&c_uniq_tag=-zGKKcteuQr_mLDTwYHvquwCiRVTOLo7Z3xLOt1Bh0M&type=album']"
223726,«Родина-2» - «Ротор»: превью к матчу 👀,2024-05-18 11:30:00,32,2,2,2730,[]
223724,,2024-05-18 10:15:20,68,1,3,3455,[]
223702,⛔️ Не стой под стрелой ⛔️,2024-05-17 19:00:02,134,1,2,5894,"['https://sun150-1.userapi.com/impg/w4tJJXSVxAqGF58tPaqWyTZcTVuGiiscirUc4Q/gKd0ruWO5Qc.jpg?size=510x408&quality=95&sign=6a8c3b0884a7333a128c619b653f618f&c_uniq_tag=aYv5URi2OzTbxY27Q5W1NJWZenImXK-nALwngsMB5LI&type=album', 'https://sun150-2.userapi.com/impg/-eMUSXOWdgCGtNZpURnafUM18Ps89nY8gkO3rQ/IM4mPNSrS5E.jpg?size=510x408&quality=95&sign=a347d7aa70bedfb5999ccd52f53b837a&c_uniq_tag=ru5dJ2LaZfRhR78yJXabb96jtA3bOUTlJ3aGDwt2fII&type=album', 'https://sun150-1.userapi.com/impg/fjFb1HPahOEJ0DgMwHKNnPL3aBoBYGY72ALLHw/nuoOOrOjYAY.jpg?size=510x408&quality=95&sign=82561edb420c62afb0c76a2931608ab4&c_uniq_tag=VBVZ_Ufssu-ceCOxvo_ayYLSptSNiJM2Pr_EkIKutw8&type=album', 'https://sun150-1.userapi.com/impg/7RjNmBII-O3vk8jQ9MG_hRbIdwZm5k8c4yH94A/1_ZHYS8fKKs.jpg?size=510x408&quality=95&sign=659f3a2f5b2a01da57ff85ddd80cdb15&c_uniq_tag=jw7Me4rvJYdeXy_YRffbdTRr1l-hQgWKYtnNFHCDkD4&type=album', 'https://sun150-2.userapi.com/impg/OMuYhihbaHMepE7FvbYR3c6Rppb40wKZG3gPQA/ySyEreYXT7I.jpg?size=510x408&quality=95&sign=47fb1f5ee80fc573118b4b908668bfcf&c_uniq_tag=D2UCnElCQqNjxjSsXbaArOcP4uyZnvfvxrKWDfIF0gE&type=album']"
223696,Якову Николаевичу это видео не показывайте 🤫,2024-05-17 17:30:00,87,5,6,4392,[]
223693,,2024-05-17 16:49:06,58,0,1,3083,[]
223686,Поздравительный коридор для Жени Мухина 👏👏👏,2024-05-17 15:40:00,75,3,2,4055,[]
223683,"Индивидуальная статистика игроков в матче #РоторКраснодар2 
 
#РубисьЗаРотор",2024-05-17 15:00:04,56,4,2,2431,"['https://sun150-2.userapi.com/impg/aGBBBCSQu4-XuCIy3WvCAy9s-DUEpqKkDTMoMA/fIrRwY9Mmgg.jpg?size=1080x1080&quality=96&sign=c9b14869173054206df49c174904f01f&c_uniq_tag=jYb7DcX8gp3TbfXZTr7gIg_Oy6wDh4-ThjCh8FCfYfQ&type=album', 'https://sun150-1.userapi.com/impg/KTAGNgptYM8bLx8q5nLwg83vi25I2u2AHBrIPQ/-yHc0FBVpKc.jpg?size=1080x1080&quality=96&sign=961452eaa80e01a3ad199de836d599ba&c_uniq_tag=zFEegrlcEQxAbhv10JTw5C09cgZpMDS7_Xz2ba_PS8s&type=album', 'https://sun150-1.userapi.com/impg/GSxko0uvIOyH1OPw4s6Jt_L7UmpI0IkWleJgMw/BurIuZCQvgs.jpg?size=1080x1080&quality=96&sign=6c6af1ef821fbc3a8447e18bae23278d&c_uniq_tag=jWPDKzzhGpHIfVeFS1MOiCIA3yrAk8KV5x1Ohl5wXnc&type=album', 'https://sun150-2.userapi.com/impg/hJd5L5HPUAPfYMnIUz602rvV54tLEErslnxg4w/_cuVq7ZkG00.jpg?size=1080x1080&quality=96&sign=b9034459dc2575b395b84efabd6b7665&c_uniq_tag=j-umXZldqZcWoqHRThczRePLwNfRx-wjOUmyzjRtOCs&type=album', 'https://sun150-2.userapi.com/impg/8hXk6n2BFMKKUNlKB3X_5sbT2WhdvtfrWPkZow/JMmmJzZoMGo.jpg?size=1080x1080&quality=96&sign=920867460a1ab0355b0111b504632b7f&c_uniq_tag=txTlJJi6Gh7oDk6wy65ezWVnIo1407zL4NYmUJ4HGLM&type=album', 'https://sun150-1.userapi.com/impg/BiMNXEdNjzMv7Pdz8XIzDUDKVBj0xZ9kWIKoSw/31ucdS3dfwQ.jpg?size=1080x1080&quality=96&sign=759953c2a4ff4101048d71886f77ab42&c_uniq_tag=b1c2wdVFbqjDVn7jK7g0OVZE-0N9o7YHerThw8gpngQ&type=album']"
223674,"Открыта продажа билетов на ЗАКЛЮЧИТЕЛЬНЫЙ ДОМАШНИЙ МАТЧ СЕЗОНА 🔜

Матч «Ротор» ⚔️ «Новосибирск» состоится 3 июня и начнётся в 19:00 

Не упустите возможность поддержать любимую команду на домашнем стадионе. Нам очень важна ваша поддержка 💙🩵 

Купить билеты на игру можно на нашем сайте: rotor-vlg.com и vk.cc/cwSXJN  👈

#ЗаРотор #ВместеСможемВсё",2024-05-17 13:10:36,118,17,16,4973,['https://sun150-2.userapi.com/impg/bLT4J88D-IjOUmBAfvgzzY-l8GhthAph_qtntA/0tIEqj41BGY.jpg?size=510x510&quality=95&sign=6cdd23e6ba89e516eaadcd8ceac96d3e&c_uniq_tag=zsTVoLN5dmfsqjC2o4R-4Kiyy2oAUY-lA9uW9_lSDGQ&type=album']
223671,А вот небольшое видео из поездки Никиты и Олега в детский сад 📹,2024-05-17 12:00:03,145,8,5,4851,[]
